,Lettice,Church,The Co-op,Dinner Service,Sunday Afternoon,The Legend of Public School,Seeking Inspiration,The Family with All the Stuff,It's All Happening At the Zoo,Invitation to the Salon,Arabic Loan Words,Lettice's Aquarium,Mirrors,German Loan Words,Previously Missed Words,Handwashing,Isolation,Afrikaans Loan Words,Ash Wednesday,The Doll,Was It This Way For the Desert Fathers?,Easter,The House of Mildew,Mrs. Barron Commands,Year-end Competition,J E R O M E,Jam,Worldly Cinema,Italian Loan Words,Clipping Coupons,Heard Rather Than Seen,Halloween,That Other Question,Crisis,Daydream of Winning,Advent,Consultation,Latin Root Studies,Snow Shoveling,Dinner for Tyler Barron,Middle School English,French Art Words,That Question,Birthday Candles,Lessons from Sara,Choosing the Year's Curriculum,Hawaiian Loan Words,Zulu Loan Words,The Homeschooling Newsletter,Aboriginal Loan Words,Exercises in Reading Between the Lines,Lessons for Lettice,At the Copy Shop,Return to the House of Mildew,Lawn Mowing,Ironing,At the Bookstore,Snow Day,Lent,Greek Root Studies,Epilogue,Spelling Practice,Mr. Barron Intervenes,Moodiness,Overheard,Mother's Temporary Work,Pentecost,Mrs. Perry Gossips,Contributions to Father's Newsletter,Proofreading,A Confrontation About Practice,Bowing Out of the Newsletter,Minding Lettice,Sibling Rivalry,Lettice Revolts,A Call to Arms,The State Fair,Orange and Purple Christmas,Performance Practice,Reflections,Mother and the Haircut,Discipline,Running Away,Church Jumble Sale
095_output.txt,1.0,1.0,1.0,1.0,9.0,5.0,1.0,1.0,1.0,,5.0,1.0,,1.0,2.0,2.0,9.0,,3.0,1.0,6.0,2.0,1.0,1.0,4.0,2.0,2.0,,2.0,2.0,,1.0,,,3.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,4.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
042_output.txt,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,,6.0,1.0,,3.0,2.0,3.0,10.0,3.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,,2.0,2.0,,1.0,,1.0,,,4.0,1.0,1.0,1.0,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,5.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
060_output.txt,1.0,1.0,1.0,1.0,5.0,1.0,,1.0,1.0,1.0,6.0,3.0,1.0,1.0,2.0,5.0,16.0,6.0,,1.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,5.0,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,,,,1.0,1.0,,,
016_output.txt,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,2.0,1.0,
085_output.txt,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,,6.0,1.0,,6.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,,,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,4.0,1.0,,1.0,1.0,2.0,3.0,1.0,,3.0,,1.0,2.0,,,8.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
029_output.txt,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,,5.0,1.0,,,2.0,3.0,,5.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
032_output.txt,1.0,1.0,1.0,,3.0,8.0,1.0,,,,3.0,,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,2.0,,1.0,2.0,,1.0,,,,,,,,,2.0,4.0,1.0,,1.0,,,,,,,
013_output.txt,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,5.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,,,,1.0,1.0,1.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,4.0,1.0,,1.0,1.0,,2.0,,1.0,4.0,5.0,1.0,2.0,1.0,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
019_output.txt,1.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,1.0,5.0,3.0,,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,,4.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,,1.0,,,,,,,
081_output.txt,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,6.0,2.0,,3.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,2.0,,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,4.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,
024_output.txt,1.0,1.0,1.0,1.0,7.0,4.0,1.0,1.0,,,4.0,2.0,,4.0,2.0,5.0,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,,2.0,,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,1.0,2.0,1.0,2.0,,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,
057_output.txt,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,2.0,2.0,,,1.0,2.0,,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,
034_output.txt,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,
048_output.txt,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,1.0,2.0,,1.0,2.0,1.0,,2.0,4.0,,1.0,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,3.0,,1.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,4.0,,
049_output.txt,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,1.0,5.0,1.0,1.0,4.0,2.0,2.0,15.0,2.0,2.0,1.0,8.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,7.0,4.0,1.0,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0
059_output.txt,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,,,2.0,2.0,2.0,8.0,5.0,,1.0,4.0,1.0,1.0,,3.0,,2.0,,,1.0,,1.0,2.0,,2.0,,,2.0,3.0,,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,
063_output.txt,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,3.0,1.0,1.0,,,1.0,1.0,3.0,2.0,1.0,,,1.0,,2.0,,,2.0,2.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,,,,,,1.0,2.0,,,1.0,,,,1.0,,,,,,,,
039_output.txt,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,4.0,,8.0,,,2.0,2.0,3.0,7.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,,,3.0,1.0,,,,,,,,,1.0,,,,,,,
089_output.txt,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,,,9.0,1.0,,2.0,2.0,3.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,,,1.0,2.0,3.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,2.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
064_output.txt,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,1.0,2.0,,,,,,,,,1.0,,5.0,6.0,1.0,,,,,,,,,
028_output.txt,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,,4.0,,,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,1.0,2.0,,,,,1.0,,1.0,2.0,3.0,,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,6.0,1.0,1.0,1.0,1.0,,1.0,,,5.0,4.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,
065_output.txt,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,4.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,3.0,1.0,,1.0,1.0,,2.0,,,5.0,2.0,1.0,,1.0,1.0,8.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,
052_output.txt,1.0,1.0,1.0,1.0,9.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,,1.0,2.0,2.0,13.0,5.0,2.0,1.0,11.0,3.0,1.0,1.0,5.0,1.0,2.0,,,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,3.0,2.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,
041_output.txt,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,4.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,4.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,
003_output.txt,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,,3.0,3.0,1.0,,,,,,,,,
086_output.txt,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,2.0,,1.0,,,2.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,3.0,1.0,
012_output.txt,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,,,5.0,1.0,,,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,4.0,1.0,1.0,2.0,1.0,4.0,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,
017_output.txt,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,1.0,,,,1.0,2.0,,1.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,2.0,1.0,1.0,,,,1.0,,,,,,,,1.0
014_output.txt,1.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,,2.0,1.0,,,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,,,
084_output.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,2.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,2.0,,,3.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,
047_output.txt,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,2.0,,,,2.0,1.0,,,1.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,2.0,3.0,1.0,,1.0,,,,,,,
020_output.txt,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,2.0,,,2.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,
011_output.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,,2.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,5.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,,,
035_output.txt,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,2.0,,,,,1.0,,,2.0,,,,2.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,2.0,,1.0,7.0,3.0,1.0,,,,,,,,,
071_output.txt,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,6.0,,,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,,2.0,,,,,,,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,,,,,2.0,1.0,,2.0,,,,,,,,,1.0,,,,,
010_output.txt,1.0,1.0,1.0,1.0,12.0,3.0,,1.0,1.0,1.0,7.0,2.0,1.0,5.0,2.0,2.0,5.0,7.0,2.0,1.0,6.0,,1.0,1.0,5.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,5.0,1.0,,5.0,3.0,1.0,2.0,1.0,1.0,5.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,
066_output.txt,1.0,1.0,1.0,1.0,9.0,1.0,3.0,1.0,,,6.0,1.0,,6.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,4.0,1.0,1.0,,,,1.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,6.0,4.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,
096_output.txt,1.0,1.0,1.0,1.0,9.0,4.0,1.0,1.0,3.0,,7.0,1.0,,2.0,2.0,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,,4.0,,2.0,2.0,,2.0,3.0,1.0,2.0,2.0,,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,3.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,
025_output.txt,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,2.0,,,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,,,,2.0,,1.0,,,3.0,1.0,1.0,2.0,5.0,,1.0,1.0,,1.0,1.0,,,2.0,1.0,3.0,1.0,1.0,1.0,,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,
091_output.txt,1.0,1.0,1.0,1.0,5.0,3.0,,1.0,2.0,1.0,3.0,,,4.0,2.0,2.0,,,2.0,1.0,,1.0,1.0,1.0,3.0,2.0,2.0,,,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,8.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
097_output.txt,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,6.0,,,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,6.0,1.0,2.0,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,,1.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
